Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
mouse_socket,84.3,96.9,92.5,98.4,65.1,63.0,77.2,87.1,74.2,54.0,84.7,97.7,94.7,88.0,84.0,52.0
multi_function_switch,96.2,99.5,97.1,84.4,49.4,54.4,73.8,34.4,18.4,14.4,99.3,99.9,98.8,12.0,4.0,0.0
nylon_ball_head,91.4,98.8,95.6,93.0,64.9,65.8,76.7,60.0,36.8,28.8,91.5,98.7,96.9,44.0,28.0,24.0
optical_fiber_outlet,90.1,98.7,95.0,98.5,79.4,75.0,89.4,65.4,58.3,40.9,95.6,99.5,96.5,52.0,28.0,20.0
pencil_sharpener,90.4,98.5,94.5,98.7,61.6,58.4,87.2,70.6,54.4,33.1,95.4,99.4,97.0,32.0,28.0,20.0
pinboard_connector,85.2,98.1,94.1,83.5,27.1,32.2,80.8,94.4,79.2,58.4,85.5,98.2,94.3,88.0,88.0,76.0
pitch_connector,88.6,97.9,93.4,91.9,73.1,71.4,85.2,80.0,62.6,41.9,88.4,98.5,94.4,80.0,60.0,52.0
pneumatic_elbow,81.4,97.1,94.6,91.6,64.6,63.2,64.8,77.3,70.3,54.7,86.5,98.1,94.8,80.0,68.0,44.0
pot_core,95.3,99.3,97.3,91.7,59.2,58.5,63.0,28.7,20.2,14.7,98.6,99.8,99.5,8.0,4.0,4.0
potentiometer,82.4,95.6,92.9,97.1,39.5,39.6,88.6,66.3,53.3,43.5,65.7,95.0,94.3,96.0,96.0,96.0
power_bank_module,87.8,98.0,93.6,77.2,35.0,39.8,69.2,84.1,63.8,42.8,88.9,98.0,97.5,36.0,32.0,20.0
power_inductor,80.5,96.0,94.6,94.1,38.5,41.0,74.8,66.4,53.8,44.1,86.2,97.9,95.1,80.0,56.0,28.0
power_jack,77.5,96.2,94.4,88.5,3.8,8.8,64.2,83.6,73.4,60.9,86.7,98.1,95.7,68.0,56.0,52.0
power_strip_socket,80.8,93.5,87.3,96.9,48.1,52.5,79.8,88.8,76.4,58.1,91.0,98.6,96.1,52.0,44.0,24.0
pulse_transformer,74.3,94.1,94.2,85.1,36.2,40.0,67.5,75.9,65.7,56.2,74.3,94.8,95.0,68.0,64.0,60.0
purple-clay-pot,96.8,99.5,97.6,98.2,72.7,72.1,89.1,21.3,15.4,5.9,99.0,99.8,99.2,7.4,7.4,7.4
push_button_switch,92.4,98.8,95.0,96.3,44.4,45.7,71.7,63.0,44.2,22.5,98.1,99.8,98.0,16.0,12.0,4.0
push_in_terminal,81.8,97.4,95.7,96.4,38.5,41.6,84.4,68.1,57.8,52.6,93.0,99.1,96.8,52.2,47.8,21.7
recorder_switch,69.6,94.7,94.1,97.8,27.9,33.3,80.0,87.4,83.5,69.3,81.5,97.3,94.6,88.0,84.0,56.0
rectangular-connector-accessories,85.5,93.4,86.6,95.7,43.7,49.4,84.5,84.3,63.0,44.6,95.0,99.3,97.3,32.0,32.0,20.0
red_terminal,89.9,98.2,94.2,97.8,64.5,66.9,87.3,70.0,48.7,28.7,91.2,98.8,96.4,48.0,40.0,32.0
retaining_ring,87.1,97.2,91.2,80.3,45.7,42.3,66.4,80.6,65.8,50.5,90.8,98.8,94.7,80.0,64.0,24.0
rheostat,79.7,96.6,94.0,97.3,47.1,49.8,87.8,85.7,65.9,49.2,87.5,98.0,94.9,72.0,52.0,32.0
rotary_position_sensor,82.9,97.0,93.0,84.0,37.2,42.5,66.6,82.5,72.1,59.7,89.7,98.6,95.7,68.0,52.0,48.0
round_twist_switch,79.6,96.5,93.4,95.1,37.4,40.6,58.9,93.5,82.7,66.2,87.5,98.3,94.3,84.0,76.0,48.0
self-lock_switch,78.5,96.2,94.0,94.8,44.3,47.7,79.5,89.8,79.7,64.1,78.7,95.9,95.9,64.0,56.0,52.0
shelf_support_module,92.2,98.8,96.3,87.2,46.7,45.2,71.7,48.5,40.8,26.2,94.3,99.2,96.9,52.0,36.0,32.0
side_press_switch,96.2,99.5,96.6,98.3,81.1,75.0,89.4,44.8,24.8,8.0,98.7,99.8,98.5,8.0,8.0,8.0
side_release_buckle,78.2,96.3,94.6,94.0,24.2,26.1,85.2,76.4,65.4,52.8,76.9,95.8,95.4,64.0,60.0,40.0
silicon_cell_sensor,78.3,96.3,94.5,98.2,50.2,50.4,90.5,81.6,76.0,59.2,88.1,97.9,97.3,36.0,32.0,28.0
sim_card_reader,92.5,99.0,94.8,88.1,61.0,64.0,79.0,71.9,52.3,30.5,98.2,99.8,97.1,32.0,4.0,0.0
single-pole_potentiometer,72.2,94.8,93.3,92.9,23.4,29.9,63.7,97.2,87.9,77.3,86.2,98.1,94.5,76.0,68.0,52.0
single_switch,81.7,97.2,94.1,97.7,53.1,55.5,63.7,92.1,85.7,62.7,93.1,99.1,95.2,72.0,36.0,20.0
slide_switch,90.4,98.2,96.3,92.8,26.4,28.4,60.8,51.9,42.6,28.7,93.2,98.3,99.3,12.0,12.0,8.0
slipper- model,87.9,98.1,94.5,94.4,55.2,56.7,83.2,80.8,50.4,36.0,96.9,99.3,99.5,8.0,8.0,4.0
small_leaf,88.0,97.8,93.1,93.2,29.7,35.3,81.5,78.6,61.0,42.8,94.2,99.2,96.9,48.0,28.0,20.0
smd_receiver_module,71.6,91.5,90.4,89.5,38.0,39.6,62.9,85.0,81.8,73.4,87.4,98.2,95.2,72.0,56.0,48.0
solderless_adapter,90.5,98.7,95.2,94.6,40.3,41.0,89.0,62.4,48.8,31.2,91.4,98.8,95.9,60.0,48.0,28.0
spherical_airstone,86.2,97.8,93.8,95.1,43.9,46.5,72.8,78.1,59.9,45.3,92.2,99.0,96.3,58.3,41.7,29.2
spring_antenna,88.1,97.5,93.3,91.2,32.2,32.0,82.2,70.1,56.3,45.5,87.5,98.2,94.8,76.0,68.0,36.0
square_terminal,94.2,99.3,95.3,83.8,53.6,57.1,78.8,75.2,45.5,15.7,99.4,99.9,99.0,12.5,4.2,0.0
steering_T-head,98.1,99.7,97.9,98.8,76.9,73.6,94.4,18.3,9.5,5.6,99.4,99.9,99.8,4.0,4.0,4.0
steering_wheel,84.3,97.8,94.3,97.1,66.8,62.6,71.7,81.6,70.4,52.8,87.4,98.2,95.2,72.0,44.0,40.0
suction-cup,80.0,95.8,92.6,96.0,62.6,60.7,82.3,85.1,71.4,57.8,83.0,97.7,94.1,92.0,76.0,56.0
telephone_spring_switch,86.8,98.2,94.1,93.9,67.4,65.9,76.3,85.6,69.6,48.8,97.0,99.6,96.7,56.0,24.0,0.0
tension_snap_release_clip,94.4,99.2,97.2,92.9,51.6,50.9,85.5,31.0,27.1,17.8,96.0,99.5,97.0,32.0,24.0,16.0
thumbtack,92.5,98.5,93.6,97.4,46.9,48.6,91.7,69.9,45.9,27.9,98.1,99.7,98.5,16.0,12.0,4.0
thyristor,99.7,99.9,99.6,95.8,41.6,42.1,91.1,4.8,1.6,1.6,100.0,100.0,100.0,0.0,0.0,0.0
toy-tire,91.9,98.8,93.6,95.1,68.8,66.7,73.0,83.8,57.7,28.2,97.4,99.7,97.4,41.7,4.2,4.2
traceless_hair_clip,97.2,99.6,96.6,99.0,79.5,75.3,89.5,47.7,16.9,3.1,99.1,99.9,98.5,8.0,0.0,0.0
travel_switch,82.3,97.2,94.3,87.6,30.0,37.3,63.0,87.2,71.2,51.2,92.2,98.9,96.4,52.0,40.0,24.0
travel_switch_green,83.6,97.4,94.8,92.4,27.7,31.9,80.0,74.4,63.2,40.0,90.6,98.7,96.4,56.0,48.0,36.0
tubular_key_switch,78.7,96.4,94.6,82.8,25.0,25.7,74.2,81.6,64.8,50.4,80.9,97.3,95.0,76.0,68.0,68.0
vacuum_switch,66.3,94.3,94.4,97.0,61.5,63.0,79.0,90.4,87.2,81.6,70.1,95.1,94.3,88.0,88.0,76.0
vehicle_harness_conductor,91.1,98.3,94.6,95.3,50.6,54.8,89.5,64.1,38.6,26.8,94.6,99.1,98.0,20.0,16.0,16.0
vertical-adjustable-resistor,82.4,94.8,90.3,97.2,59.2,57.0,88.3,78.0,63.9,47.6,77.9,96.7,94.8,76.0,76.0,68.0
vibration_motor,78.3,94.8,92.3,93.6,34.4,42.7,62.9,86.4,74.0,55.6,95.6,99.4,97.3,32.0,16.0,16.0
volume_potentiometer,83.4,96.3,91.8,95.6,72.0,69.6,75.5,80.3,69.9,55.7,92.3,99.0,95.4,60.0,44.0,32.0
wireless_receiver_module,67.5,94.8,94.1,73.6,35.0,40.6,58.2,97.6,95.2,88.8,67.9,94.9,94.1,100.0,92.0,68.0
Mean,84.2,96.9,94.2,92.5,49.2,50.2,77.8,72.8,58.7,44.7,88.4,98.2,96.3,54.3,43.6,32.9
