Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
jam_jar_model,68.9 ± 0.6,92.5 ± 0.4,91.0 ± 0.0,81.7 ± 0.1,36.4 ± 4.6,44.3 ± 1.9,75.3 ± 0.4,96.9 ± 1.1,91.0 ± 0.6,84.2 ± 0.6,73.7 ± 3.6,96.3 ± 0.7,94.1 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0
joystick_switch,98.0 ± 0.1,99.6 ± 0.0,97.7 ± 0.2,99.1 ± 0.0,63.4 ± 0.2,60.0 ± 0.1,97.2 ± 0.1,21.3 ± 4.4,6.9 ± 0.5,2.1 ± 1.2,97.1 ± 0.1,99.3 ± 0.0,99.7 ± 0.0,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
kfc_push-key_switch,83.4 ± 0.7,97.3 ± 0.3,94.3 ± 0.1,91.2 ± 1.1,45.4 ± 12.6,50.3 ± 12.8,63.9 ± 3.4,84.5 ± 2.1,77.5 ± 0.0,54.3 ± 1.6,93.9 ± 0.7,98.9 ± 0.2,98.3 ± 0.1,16.0 ± 4.0,13.3 ± 6.1,9.3 ± 2.3
knob-cap,91.3 ± 1.5,98.2 ± 0.3,94.2 ± 0.7,91.6 ± 0.0,31.5 ± 0.6,30.7 ± 0.6,70.8 ± 0.2,65.9 ± 10.9,41.8 ± 8.0,24.3 ± 4.8,94.3 ± 2.1,99.1 ± 0.3,97.8 ± 0.5,22.7 ± 6.1,21.3 ± 6.1,18.7 ± 8.3
laser_diode,63.8 ± 3.8,90.8 ± 1.2,91.6 ± 0.0,80.0 ± 0.3,3.5 ± 0.2,9.8 ± 0.3,71.5 ± 0.7,94.5 ± 0.7,90.9 ± 0.9,84.4 ± 2.4,76.9 ± 5.8,96.4 ± 1.2,94.0 ± 0.1,93.3 ± 4.6,81.3 ± 9.2,68.0 ± 12.0
lattice_block_plug,75.5 ± 1.0,94.2 ± 0.2,92.0 ± 0.2,94.7 ± 0.1,44.6 ± 1.1,47.8 ± 0.8,80.4 ± 0.4,79.8 ± 3.9,65.8 ± 1.6,60.0 ± 1.9,92.5 ± 0.8,99.0 ± 0.1,96.0 ± 0.3,53.3 ± 4.6,37.3 ± 9.2,28.0 ± 4.0
lego-pin-connector-plate,98.6 ± 0.1,99.8 ± 0.0,98.7 ± 0.1,99.0 ± 0.1,79.0 ± 0.2,74.2 ± 0.2,94.6 ± 0.1,10.7 ± 2.5,7.5 ± 1.2,3.9 ± 0.0,99.6 ± 0.1,99.9 ± 0.0,99.3 ± 0.2,8.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
lego-propeller,91.1 ± 1.4,98.5 ± 0.3,95.8 ± 0.2,95.6 ± 0.1,60.8 ± 2.7,60.7 ± 1.8,83.6 ± 0.2,56.5 ± 3.4,31.3 ± 3.5,21.2 ± 3.8,90.6 ± 5.0,98.6 ± 0.8,96.4 ± 0.5,46.7 ± 6.1,37.3 ± 8.3,30.7 ± 11.5
lego-reel,92.5 ± 1.4,98.9 ± 0.2,95.8 ± 0.5,92.9 ± 0.2,57.2 ± 0.7,58.1 ± 0.4,92.9 ± 0.2,55.7 ± 7.9,40.3 ± 5.4,23.2 ± 5.8,99.9 ± 0.1,100.0 ± 0.1,99.4 ± 0.3,1.3 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
lego-technical-gear,93.2 ± 0.6,98.8 ± 0.1,95.0 ± 0.5,97.9 ± 0.1,67.4 ± 0.4,65.8 ± 0.3,89.0 ± 0.2,71.3 ± 2.8,41.2 ± 5.8,12.0 ± 4.0,97.2 ± 0.1,99.6 ± 0.0,98.7 ± 0.0,12.0 ± 0.0,12.0 ± 0.0,9.3 ± 2.3
lego-turbine,96.8 ± 0.1,99.1 ± 0.1,95.9 ± 0.1,97.6 ± 0.1,72.7 ± 0.3,68.1 ± 0.2,88.4 ± 0.4,23.8 ± 1.8,15.8 ± 0.6,9.7 ± 0.7,99.0 ± 0.2,99.8 ± 0.1,99.4 ± 0.1,6.7 ± 2.3,4.0 ± 0.0,4.0 ± 0.0
lighting_connector,88.0 ± 0.4,97.2 ± 0.1,90.8 ± 0.2,97.5 ± 0.1,71.7 ± 0.7,66.2 ± 0.5,78.5 ± 0.2,86.7 ± 1.3,70.4 ± 0.6,49.8 ± 1.5,85.2 ± 1.3,97.7 ± 0.3,94.2 ± 0.1,89.3 ± 9.2,80.0 ± 6.9,53.3 ± 4.6
lilypad_led,92.2 ± 0.4,98.9 ± 0.2,95.3 ± 0.1,91.8 ± 0.4,50.0 ± 2.1,54.0 ± 1.7,86.5 ± 0.4,63.7 ± 1.8,43.2 ± 2.9,27.5 ± 1.2,97.6 ± 1.2,99.5 ± 0.3,98.9 ± 0.2,12.0 ± 4.0,8.0 ± 4.0,5.3 ± 2.3
limit-switch,93.9 ± 0.4,98.4 ± 0.1,93.5 ± 0.3,95.7 ± 0.1,36.9 ± 0.9,42.5 ± 0.2,84.2 ± 0.1,62.5 ± 2.4,32.3 ± 2.1,19.2 ± 2.0,98.5 ± 0.8,99.8 ± 0.1,98.0 ± 0.3,25.3 ± 9.2,9.3 ± 9.2,2.7 ± 4.6
lithium_battery_plug,94.0 ± 0.1,99.0 ± 0.0,96.1 ± 0.2,98.2 ± 0.1,69.0 ± 0.1,65.5 ± 0.3,85.5 ± 0.4,44.7 ± 4.0,27.3 ± 2.1,15.1 ± 0.4,98.0 ± 0.1,99.7 ± 0.0,98.9 ± 0.1,12.0 ± 0.0,9.3 ± 2.3,5.3 ± 2.3
littel-fuse,94.0 ± 0.3,99.2 ± 0.1,96.0 ± 0.3,81.1 ± 0.2,43.1 ± 0.2,47.5 ± 0.3,78.0 ± 0.2,52.4 ± 6.0,30.7 ± 1.2,16.2 ± 1.7,96.0 ± 0.1,99.5 ± 0.1,97.9 ± 0.1,22.7 ± 2.3,18.7 ± 2.3,14.7 ± 2.3
little_cow_model,72.9 ± 0.4,93.0 ± 0.1,92.3 ± 0.1,96.7 ± 0.1,48.0 ± 0.6,52.2 ± 0.2,83.3 ± 0.1,90.2 ± 1.6,82.0 ± 3.1,74.2 ± 2.7,71.8 ± 0.6,94.6 ± 0.4,94.3 ± 0.1,84.0 ± 4.0,72.0 ± 6.9,58.7 ± 8.3
