Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,94.2 ± 2.7,99.2 ± 0.4,96.5 ± 0.9,93.0 ± 0.6,70.2 ± 2.3,64.8 ± 1.9,84.0 ± 1.5,44.4 ± 14.8,29.0 ± 13.4,19.8 ± 11.4,98.9 ± 0.8,99.9 ± 0.1,98.3 ± 0.9,18.1 ± 15.8,4.2 ± 4.2,1.4 ± 2.4
3_adapter,92.0 ± 1.1,98.8 ± 0.2,95.4 ± 0.3,98.5 ± 0.1,64.8 ± 0.2,60.4 ± 0.2,89.6 ± 0.0,63.5 ± 4.7,45.7 ± 6.3,26.8 ± 3.2,94.2 ± 1.3,99.1 ± 0.2,97.4 ± 0.6,29.3 ± 8.3,20.0 ± 8.0,14.7 ± 4.6
3pin_aviation_connector,76.2 ± 3.4,96.3 ± 0.6,93.6 ± 0.1,94.1 ± 0.1,54.6 ± 0.4,53.0 ± 1.5,75.5 ± 0.1,96.5 ± 1.1,88.7 ± 3.0,77.2 ± 7.9,76.0 ± 3.5,96.4 ± 0.6,94.3 ± 0.2,86.7 ± 4.6,80.0 ± 4.0,72.0 ± 6.9
4_wire_stepping_motor,77.1 ± 0.8,96.8 ± 0.2,94.2 ± 0.1,71.3 ± 0.2,1.7 ± 0.2,4.7 ± 0.3,43.9 ± 0.3,93.1 ± 1.2,88.8 ± 0.8,79.7 ± 4.7,92.6 ± 1.3,99.1 ± 0.2,95.0 ± 0.3,72.0 ± 4.0,56.0 ± 10.6,26.7 ± 10.1
D-sub-connector,94.8 ± 0.6,99.1 ± 0.1,95.9 ± 0.3,96.0 ± 0.1,63.2 ± 0.5,63.6 ± 0.6,84.9 ± 0.2,49.9 ± 12.1,25.3 ± 3.4,10.8 ± 0.4,98.0 ± 0.1,99.6 ± 0.0,99.6 ± 0.1,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
DVD_switch,92.5 ± 0.6,98.9 ± 0.1,96.9 ± 0.1,86.4 ± 0.1,39.5 ± 0.1,39.9 ± 0.2,71.0 ± 0.0,37.9 ± 2.4,28.3 ± 2.0,23.2 ± 2.1,96.4 ± 0.6,99.4 ± 0.1,98.6 ± 0.7,16.0 ± 6.9,12.0 ± 0.0,9.3 ± 2.3
LED_indicator,84.2 ± 0.2,97.7 ± 0.1,94.1 ± 0.1,84.6 ± 0.3,22.8 ± 0.7,35.2 ± 0.9,62.3 ± 0.1,90.1 ± 3.3,75.2 ± 4.0,53.1 ± 0.9,87.8 ± 0.8,98.4 ± 0.2,94.7 ± 0.1,73.3 ± 2.3,60.0 ± 6.9,53.3 ± 2.3
PLCC_socket,86.6 ± 1.3,98.2 ± 0.2,94.2 ± 0.1,98.7 ± 0.1,85.7 ± 0.1,81.0 ± 0.2,86.9 ± 0.2,90.1 ± 1.8,78.1 ± 2.3,54.4 ± 4.5,93.3 ± 2.4,99.1 ± 0.3,96.3 ± 0.8,53.3 ± 16.7,41.3 ± 16.7,28.0 ± 18.3
VR_joystick,86.7 ± 0.2,97.2 ± 0.1,93.2 ± 0.2,98.4 ± 0.1,67.5 ± 0.3,62.7 ± 0.2,90.9 ± 0.2,71.8 ± 1.8,53.9 ± 0.7,39.0 ± 1.4,91.7 ± 0.7,98.6 ± 0.1,97.5 ± 0.3,30.7 ± 2.3,18.7 ± 2.3,16.0 ± 0.0
access_card,92.9 ± 0.4,98.9 ± 0.1,96.3 ± 0.1,66.1 ± 0.2,17.6 ± 0.2,26.4 ± 0.3,78.6 ± 0.2,46.7 ± 1.2,33.3 ± 4.4,18.9 ± 0.5,91.3 ± 0.9,98.7 ± 0.2,97.0 ± 0.4,41.3 ± 4.6,32.0 ± 4.0,30.7 ± 2.3
accurate_detection_switch,89.6 ± 0.4,98.5 ± 0.1,94.7 ± 0.1,92.3 ± 0.1,61.2 ± 0.4,59.0 ± 0.3,80.7 ± 0.2,73.7 ± 1.8,52.1 ± 5.3,36.2 ± 0.5,93.6 ± 0.4,99.1 ± 0.1,96.9 ± 0.3,44.4 ± 6.4,27.8 ± 2.4,22.2 ± 2.4
aircraft_model_head,96.7 ± 0.2,99.5 ± 0.0,98.3 ± 0.1,97.5 ± 0.1,72.8 ± 0.2,74.3 ± 0.2,88.0 ± 0.1,20.6 ± 2.7,15.8 ± 1.2,10.2 ± 0.5,99.1 ± 0.0,99.9 ± 0.0,98.4 ± 0.1,20.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
angled_toggle_switch,92.1 ± 0.4,98.8 ± 0.1,95.6 ± 0.4,87.0 ± 0.1,25.6 ± 0.3,32.7 ± 0.5,61.5 ± 0.1,56.8 ± 7.5,39.3 ± 1.2,18.2 ± 1.2,96.3 ± 0.5,99.5 ± 0.1,97.8 ± 0.3,25.3 ± 2.3,24.0 ± 4.0,16.0 ± 4.0
audio_jack_socket,75.8 ± 0.4,92.5 ± 0.2,91.5 ± 0.3,83.6 ± 0.2,1.5 ± 0.1,3.4 ± 0.1,46.9 ± 0.6,78.9 ± 3.2,68.7 ± 1.1,56.0 ± 0.8,86.5 ± 1.7,97.8 ± 0.3,95.4 ± 0.6,66.7 ± 12.9,49.3 ± 4.6,29.3 ± 4.6
bag_buckle,95.9 ± 1.0,99.5 ± 0.1,96.9 ± 0.3,99.6 ± 0.1,77.7 ± 1.6,74.2 ± 1.6,97.4 ± 0.3,36.8 ± 3.5,19.2 ± 5.2,12.8 ± 4.9,97.5 ± 0.8,99.7 ± 0.1,96.8 ± 0.6,38.7 ± 10.1,20.0 ± 6.9,2.7 ± 2.3
ball_pin,96.1 ± 0.2,99.5 ± 0.0,96.3 ± 0.1,99.2 ± 0.1,69.6 ± 0.1,62.5 ± 0.1,95.7 ± 0.1,47.6 ± 2.8,32.5 ± 2.8,11.9 ± 1.4,99.5 ± 0.1,99.9 ± 0.0,99.0 ± 0.3,8.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
balun_transformer,82.9 ± 0.3,96.7 ± 0.2,91.7 ± 0.1,96.0 ± 0.2,74.2 ± 1.0,71.6 ± 1.3,70.0 ± 1.0,93.0 ± 2.0,80.8 ± 2.3,62.4 ± 3.0,90.3 ± 0.6,98.6 ± 0.1,95.9 ± 0.6,53.3 ± 9.2,37.3 ± 6.1,29.3 ± 2.3
battery,71.9 ± 1.7,93.7 ± 0.5,94.1 ± 0.1,88.5 ± 0.2,16.7 ± 0.3,22.5 ± 0.6,58.3 ± 0.1,90.9 ± 1.6,79.6 ± 5.2,66.1 ± 4.3,77.7 ± 2.0,95.1 ± 0.7,94.4 ± 0.3,85.3 ± 10.1,66.7 ± 8.3,52.0 ± 4.0
battery_holder_connector,90.1 ± 1.3,98.6 ± 0.2,95.0 ± 0.3,88.0 ± 0.4,41.8 ± 3.3,41.5 ± 4.1,78.9 ± 1.2,67.7 ± 6.0,46.8 ± 1.2,33.9 ± 2.2,97.6 ± 0.6,99.7 ± 0.1,97.9 ± 0.5,20.0 ± 10.6,13.3 ± 6.1,10.7 ± 2.3
battery_socket_connector,70.3 ± 2.2,93.4 ± 0.5,92.8 ± 0.1,89.1 ± 0.4,46.2 ± 3.3,45.9 ± 3.0,61.6 ± 0.9,84.9 ± 4.1,79.5 ± 4.8,73.6 ± 4.9,87.3 ± 1.6,98.3 ± 0.2,94.7 ± 0.2,81.3 ± 8.3,70.7 ± 2.3,48.0 ± 10.6
bend_connector,87.7 ± 0.2,98.0 ± 0.1,93.6 ± 0.2,92.1 ± 0.1,44.7 ± 0.1,47.0 ± 0.3,69.0 ± 0.3,81.7 ± 3.4,63.9 ± 1.4,39.6 ± 0.7,95.5 ± 0.9,99.3 ± 0.2,97.3 ± 0.2,32.0 ± 8.0,21.3 ± 2.3,10.7 ± 6.1
blade_switch,89.4 ± 2.4,98.2 ± 0.5,96.1 ± 0.2,95.3 ± 0.1,56.5 ± 0.4,57.0 ± 0.3,75.2 ± 0.3,49.9 ± 5.1,35.7 ± 3.0,26.4 ± 5.0,89.6 ± 3.1,98.2 ± 0.6,97.8 ± 0.5,26.7 ± 9.2,22.7 ± 6.1,21.3 ± 4.6
blue_light_switch,73.5 ± 1.4,93.1 ± 0.9,92.7 ± 0.1,84.7 ± 0.1,23.6 ± 2.5,32.8 ± 0.7,66.7 ± 0.3,90.9 ± 0.0,80.1 ± 0.3,67.5 ± 3.6,69.5 ± 8.8,93.1 ± 1.9,94.4 ± 0.1,93.3 ± 2.3,86.7 ± 2.3,76.0 ± 4.0
bluetooth_module,94.6 ± 1.0,99.3 ± 0.1,96.0 ± 0.3,94.9 ± 0.1,69.6 ± 0.2,63.5 ± 0.2,82.6 ± 0.3,55.7 ± 6.4,32.3 ± 3.9,19.5 ± 4.5,97.7 ± 1.0,99.7 ± 0.1,98.2 ± 1.0,21.3 ± 12.9,14.7 ± 11.5,6.7 ± 2.3
boost_converter_module,78.6 ± 1.8,95.1 ± 0.5,91.5 ± 0.2,93.3 ± 0.2,66.9 ± 0.9,63.6 ± 0.8,68.0 ± 0.9,88.4 ± 5.0,79.4 ± 4.7,64.5 ± 4.3,83.9 ± 2.1,97.5 ± 0.3,95.2 ± 0.4,73.3 ± 10.1,62.7 ± 10.1,49.3 ± 12.9
bread_model,85.1 ± 0.2,97.3 ± 0.1,93.1 ± 0.2,96.7 ± 0.0,65.8 ± 0.3,66.9 ± 0.3,87.4 ± 0.1,80.5 ± 1.7,69.5 ± 2.1,53.5 ± 1.3,90.4 ± 2.0,98.6 ± 0.3,96.1 ± 0.3,60.0 ± 4.0,41.3 ± 11.5,24.0 ± 6.9
brooch_clasp_accessory,98.9 ± 0.1,99.9 ± 0.1,98.2 ± 0.3,98.0 ± 0.0,77.6 ± 0.3,75.7 ± 0.2,93.0 ± 0.1,12.8 ± 4.4,1.9 ± 0.9,0.7 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,88.2 ± 1.1,98.2 ± 0.2,94.9 ± 0.2,91.3 ± 0.1,42.9 ± 0.3,45.0 ± 0.2,75.7 ± 0.2,70.1 ± 2.0,47.6 ± 4.0,32.3 ± 3.5,86.9 ± 2.3,98.1 ± 0.3,94.8 ± 0.5,77.3 ± 6.1,61.3 ± 12.2,38.7 ± 16.2
button_motor,96.9 ± 0.2,99.6 ± 0.0,97.1 ± 0.3,97.8 ± 0.1,75.0 ± 0.1,73.3 ± 0.1,84.4 ± 0.1,32.0 ± 6.0,16.0 ± 2.9,6.4 ± 0.8,97.6 ± 0.2,99.6 ± 0.1,98.5 ± 0.3,14.7 ± 4.6,9.3 ± 2.3,4.0 ± 0.0
button_switch,90.9 ± 0.8,98.9 ± 0.2,94.1 ± 0.1,99.3 ± 0.0,86.7 ± 0.2,80.4 ± 0.3,82.5 ± 0.2,89.6 ± 2.1,76.5 ± 0.9,30.9 ± 3.6,99.3 ± 0.6,99.9 ± 0.1,99.0 ± 0.3,6.7 ± 4.6,2.7 ± 4.6,1.3 ± 2.3
car_door_lock_switch,76.7 ± 4.7,96.1 ± 1.0,94.1 ± 0.1,93.2 ± 0.2,53.0 ± 3.3,52.3 ± 2.2,75.9 ± 0.8,85.9 ± 2.6,74.9 ± 5.9,62.7 ± 9.9,70.9 ± 5.3,95.0 ± 1.4,94.1 ± 0.0,93.3 ± 6.1,74.7 ± 6.1,61.3 ± 8.3
ceramic_fuse,78.2 ± 5.1,96.4 ± 0.9,94.2 ± 0.0,91.4 ± 0.1,30.3 ± 2.6,36.5 ± 2.5,75.5 ± 0.5,91.2 ± 2.4,87.2 ± 6.2,69.3 ± 14.3,91.8 ± 2.0,98.3 ± 0.4,97.7 ± 0.9,29.3 ± 18.0,25.3 ± 14.0,20.0 ± 10.6
ceramic_wave_filter,91.2 ± 1.1,98.6 ± 0.1,95.4 ± 0.3,90.9 ± 0.2,56.4 ± 0.1,60.6 ± 0.2,73.4 ± 0.1,60.3 ± 5.3,48.8 ± 7.3,30.4 ± 7.6,94.2 ± 0.5,99.1 ± 0.1,97.4 ± 0.4,28.0 ± 4.0,18.7 ± 4.6,14.7 ± 2.3
charging_port,88.8 ± 0.7,98.2 ± 0.2,94.8 ± 0.4,89.5 ± 0.1,40.2 ± 0.2,39.4 ± 0.3,77.5 ± 0.2,65.9 ± 4.5,50.6 ± 2.4,37.8 ± 2.6,96.5 ± 0.7,99.5 ± 0.1,97.9 ± 0.4,28.0 ± 6.9,21.3 ± 4.6,12.0 ± 0.0
chip-inductor,86.1 ± 1.2,97.9 ± 0.2,94.7 ± 0.3,89.2 ± 0.1,44.4 ± 0.2,42.2 ± 0.2,79.3 ± 0.1,72.8 ± 5.3,55.3 ± 4.8,41.3 ± 4.8,88.7 ± 0.8,98.4 ± 0.1,95.5 ± 0.7,61.3 ± 14.0,50.7 ± 2.3,38.7 ± 4.6
circuit_breaker,92.8 ± 0.5,99.0 ± 0.1,95.8 ± 0.1,98.2 ± 0.0,73.8 ± 0.8,69.4 ± 0.9,87.9 ± 0.1,54.6 ± 1.6,38.9 ± 1.2,26.5 ± 1.6,99.1 ± 0.5,99.9 ± 0.1,99.2 ± 0.3,5.3 ± 2.3,5.3 ± 2.3,5.3 ± 2.3
circular_aviation_connector,68.7 ± 1.1,89.5 ± 0.3,87.6 ± 0.0,67.7 ± 0.2,13.0 ± 0.5,19.1 ± 0.4,41.0 ± 0.1,96.1 ± 1.4,92.1 ± 2.3,82.7 ± 2.8,90.9 ± 2.2,98.5 ± 0.6,96.1 ± 0.6,54.7 ± 9.2,38.7 ± 10.1,24.0 ± 6.9
common-mode-choke,75.7 ± 0.3,93.3 ± 0.4,91.4 ± 0.1,96.7 ± 0.0,63.8 ± 0.3,60.8 ± 0.1,83.7 ± 0.2,85.9 ± 1.6,68.8 ± 0.6,59.2 ± 3.8,82.5 ± 1.3,97.5 ± 0.4,94.3 ± 0.2,88.0 ± 10.6,68.0 ± 6.9,57.3 ± 9.2
common-mode-filter,93.3 ± 1.2,99.0 ± 0.2,96.6 ± 0.2,93.5 ± 0.1,43.6 ± 0.6,43.0 ± 0.3,76.3 ± 0.2,39.5 ± 3.2,27.0 ± 3.2,19.3 ± 3.8,95.1 ± 1.9,99.3 ± 0.3,97.2 ± 1.0,33.3 ± 16.2,28.0 ± 13.9,21.3 ± 9.2
connector,91.9 ± 1.2,98.8 ± 0.2,94.8 ± 0.4,86.4 ± 0.4,62.9 ± 2.0,59.5 ± 2.9,75.5 ± 1.5,72.6 ± 4.5,47.7 ± 5.8,26.9 ± 5.4,95.9 ± 3.6,99.4 ± 0.6,96.8 ± 1.4,40.0 ± 22.3,30.7 ± 18.9,5.3 ± 9.2
connector_housing-female,95.2 ± 0.6,99.2 ± 0.1,97.1 ± 0.1,87.3 ± 0.1,49.3 ± 1.0,52.4 ± 0.7,81.8 ± 0.1,32.3 ± 1.6,19.8 ± 1.4,13.8 ± 0.9,97.6 ± 1.9,99.7 ± 0.3,98.8 ± 0.9,14.7 ± 9.2,12.0 ± 10.6,10.7 ± 9.2
console_switch,96.3 ± 0.2,99.5 ± 0.0,96.9 ± 0.1,79.0 ± 0.1,26.8 ± 0.4,32.3 ± 0.3,75.4 ± 0.1,35.7 ± 1.8,18.7 ± 2.4,10.7 ± 1.7,99.0 ± 0.3,99.9 ± 0.1,98.6 ± 0.1,9.3 ± 2.3,6.7 ± 2.3,2.7 ± 4.6
crimp_st_cable_mount_box,87.9 ± 3.4,98.0 ± 0.7,93.7 ± 0.3,97.0 ± 0.3,62.0 ± 3.1,62.8 ± 4.2,91.2 ± 1.3,81.2 ± 6.5,58.9 ± 7.0,34.7 ± 5.9,88.7 ± 6.0,98.3 ± 0.9,96.1 ± 0.3,54.7 ± 8.3,41.3 ± 16.7,33.3 ± 23.4
dc_jack,91.0 ± 0.5,98.3 ± 0.1,93.9 ± 0.3,88.8 ± 0.3,51.3 ± 0.8,46.2 ± 0.9,83.1 ± 0.3,64.5 ± 4.7,49.4 ± 3.3,30.7 ± 1.8,98.0 ± 1.1,99.7 ± 0.1,98.4 ± 0.6,17.3 ± 8.3,10.7 ± 8.3,6.7 ± 4.6
dc_power_connector,94.6 ± 0.4,99.2 ± 0.1,96.5 ± 0.2,90.2 ± 0.1,27.0 ± 0.2,30.2 ± 0.1,82.0 ± 0.1,42.4 ± 3.7,26.9 ± 3.0,13.1 ± 2.4,96.5 ± 0.6,99.4 ± 0.1,98.3 ± 0.3,20.0 ± 6.9,13.3 ± 4.6,5.3 ± 2.3
